food_key,food_description,food_category,allowed_no_restriction,allowed_vegetarian,allowed_vegan,allowed_pescatarian,allowed_halal_friendly,allowed_kosher_style,allowed_gluten_free,allowed_lactose_free,allowed_nut_free,allowed_low_sodium_aware,blocked_profiles
beans fava in pod raw,"Beans, fava, in pod, raw",Vegetables and Vegetable Products,1,1,1,1,1,1,1,1,1,1,
beans french mature seeds raw,"Beans, french, mature seeds, raw",Legumes and Legume Products,1,1,1,1,1,1,1,1,1,1,
beans great northern mature seeds raw (includes foods for usda s food distribution program),"Beans, great northern, mature seeds, raw (Includes foods for USDA's Food Distribution Program)",Legumes and Legume Products,1,1,1,1,1,1,1,1,1,1,
beans kidney all types mature seeds raw,"Beans, kidney, all types, mature seeds, raw",Legumes and Legume Products,1,0,0,0,1,1,1,1,1,1,vegetarian|vegan|pescatarian
beans kidney california red mature seeds raw,"Beans, kidney, california red, mature seeds, raw",Legumes and Legume Products,1,0,0,0,1,1,1,1,1,1,vegetarian|vegan|pescatarian
beans kidney mature seeds sprouted raw,"Beans, kidney, mature seeds, sprouted, raw",Vegetables and Vegetable Products,1,0,0,0,1,1,1,1,1,1,vegetarian|vegan|pescatarian
beans kidney red mature seeds raw,"Beans, kidney, red, mature seeds, raw",Legumes and Legume Products,1,0,0,0,1,1,1,1,1,1,vegetarian|vegan|pescatarian
beans kidney royal red mature seeds raw,"Beans, kidney, royal red, mature seeds, raw",Legumes and Legume Products,1,0,0,0,1,1,1,1,1,1,vegetarian|vegan|pescatarian
beans liquid from stewed kidney beans,"Beans, liquid from stewed kidney beans",Legumes and Legume Products,1,0,0,0,1,1,1,1,1,1,vegetarian|vegan|pescatarian
beans navy mature seeds raw,"Beans, navy, mature seeds, raw",Legumes and Legume Products,1,1,1,1,1,1,1,1,1,1,
beans navy mature seeds sprouted raw,"Beans, navy, mature seeds, sprouted, raw",Vegetables and Vegetable Products,1,1,1,1,1,1,1,1,1,1,
beans pink mature seeds raw,"Beans, pink, mature seeds, raw",Legumes and Legume Products,1,1,1,1,1,1,1,1,1,1,
beans pinto mature seeds raw (includes foods for usda s food distribution program),"Beans, pinto, mature seeds, raw (Includes foods for USDA's Food Distribution Program)",Legumes and Legume Products,1,1,1,1,1,1,1,1,1,1,
beans pinto mature seeds sprouted raw,"Beans, pinto, mature seeds, sprouted, raw",Vegetables and Vegetable Products,1,1,1,1,1,1,1,1,1,1,
beans small white mature seeds raw,"Beans, small white, mature seeds, raw",Legumes and Legume Products,1,1,1,1,1,1,1,1,1,1,
beans snap green microwaved,"Beans, snap, green, microwaved",Vegetables and Vegetable Products,1,1,1,1,1,1,1,1,1,1,
beans snap green raw,"Beans, snap, green, raw",Vegetables and Vegetable Products,1,1,1,1,1,1,1,1,1,1,
beans snap yellow raw,"Beans, snap, yellow, raw",Vegetables and Vegetable Products,1,1,1,1,1,1,1,1,1,1,
beans white mature seeds raw,"Beans, white, mature seeds, raw",Legumes and Legume Products,1,1,1,1,1,1,1,1,1,1,
beans yellow mature seeds raw,"Beans, yellow, mature seeds, raw",Legumes and Legume Products,1,1,1,1,1,1,1,1,1,1,
bear black meat (alaska native),"Bear, black, meat (Alaska Native)",American Indian/Alaska Native Foods,1,1,1,1,1,1,1,1,1,1,
bear polar meat raw (alaska native),"Bear, polar, meat, raw (Alaska Native)",American Indian/Alaska Native Foods,1,1,1,1,1,1,1,1,1,1,
beef australian imported wagyu external fat aust marble score 4 5 raw,"Beef, Australian, imported, Wagyu, external fat, Aust. marble score 4/5, raw",Beef Products,1,0,0,0,1,1,1,1,1,1,vegetarian|vegan|pescatarian
beef australian imported wagyu external fat aust marble score 9 raw,"Beef, Australian, imported, Wagyu, external fat, Aust. marble score 9, raw",Beef Products,1,0,0,0,1,1,1,1,1,1,vegetarian|vegan|pescatarian
beef australian imported wagyu loin tenderloin steak roast boneless separable lean only aust marble score 4 5 raw,"Beef, Australian, imported, Wagyu, loin, tenderloin steak/roast, boneless, separable lean only, Aust. marble score 4/5, raw",Beef Products,1,0,0,0,1,1,1,1,1,1,vegetarian|vegan|pescatarian
beef australian imported wagyu loin tenderloin steak roast boneless separable lean only aust marble score 9 raw,"Beef, Australian, imported, Wagyu, loin, tenderloin steak/roast, boneless, separable lean only, Aust. marble score 9, raw",Beef Products,1,0,0,0,1,1,1,1,1,1,vegetarian|vegan|pescatarian
beef australian imported wagyu loin top loin steak roast boneless separable lean only aust marble score 4 5 raw,"Beef, Australian, imported, Wagyu, loin, top loin steak/roast, boneless, separable lean only, Aust. marble score 4/5, raw",Beef Products,1,0,0,0,1,1,1,1,1,1,vegetarian|vegan|pescatarian
beef australian imported wagyu loin top loin steak roast boneless separable lean only aust marble score 9 raw,"Beef, Australian, imported, Wagyu, loin, top loin steak/roast, boneless, separable lean only, Aust. marble score 9, raw",Beef Products,1,0,0,0,1,1,1,1,1,1,vegetarian|vegan|pescatarian
beef australian imported wagyu rib small end rib steak roast boneless separable lean only aust marble score 4 5 raw,"Beef, Australian, imported, Wagyu, rib, small end rib steak/roast, boneless, separable lean only, Aust. marble score 4/5, raw",Beef Products,1,0,0,0,1,1,1,1,1,1,vegetarian|vegan|pescatarian
beef australian imported wagyu rib small end rib steak roast boneless separable lean only aust marble score 9 raw,"Beef, Australian, imported, Wagyu, rib, small end rib steak/roast, boneless, separable lean only, Aust. marble score 9, raw",Beef Products,1,0,0,0,1,1,1,1,1,1,vegetarian|vegan|pescatarian
beef australian imported wagyu seam fat aust marble score 4 5 raw,"Beef, Australian, imported, Wagyu, seam fat, Aust. marble score 4/5, raw",Beef Products,1,0,0,0,1,1,1,1,1,1,vegetarian|vegan|pescatarian
beef australian imported wagyu seam fat aust marble score 9 raw,"Beef, Australian, imported, Wagyu, seam fat, Aust. marble score 9, raw",Beef Products,1,0,0,0,1,1,1,1,1,1,vegetarian|vegan|pescatarian
beef australian imported grass-fed external fat raw,"Beef, Australian, imported, grass-fed,  external fat, raw",Beef Products,1,0,0,0,1,1,1,1,1,1,vegetarian|vegan|pescatarian
