"IndicatorCode","IndicatorName","Language"
"TOTENV_3","Disability-adjusted life years (DALYs) attributable to the environment","EN"
"TOTENV_4","Age-standardized DALYs attributable to the environment (per 100 000 population)","EN"
"TOTENV_5","Deaths attributable to the environment (%)","EN"
"TOTENV_6","Disability-adjusted life years (DALYs) attributable to the environment (%)","EN"
"TOTENV_7","Total environment attributable deaths ('000) in children under 5 years","EN"
"TOTENV_70","Total environment attributable deaths in children under 5 years","EN"
"TOTENV_8","Total environment  attributable deaths per 100'000 children under 5 years","EN"
"TOTENV_9","Total environment attributable DALYs ('000) in children under 5 years","EN"
"TOTENV_90","Total environment attributable DALYs  in children under 5 years","EN"
"uweight3","Underweight prevalence in children aged < 3 years (%)","EN"
"uweight5","Underweight prevalence in children aged < 5 years (%)","EN"
"uwgt5","xxxxx for deletion: (child underweight, see NUTUNDERWEIGHTPREV)","EN"
"vita","Children aged 6-59 months who received vitamin A supplementation (%)","EN"
"wast3","Wasting prevalence in children aged < 3 years (%)","EN"
"wast5","Wasting prevalence in children aged < 5 years (%)","EN"
"WHOSIS_000008","Children aged <5 years underweight (%)","EN"
"WHOSIS_000009","Children aged <5 years overweight (%)","EN"
"WHS4_124","Children aged 6-59 months who received vitamin A supplementation (%)","EN"
"WHS6_518","Number of environment and public health workers","EN"
"WHS6_520","Density of environment and public health workers (per 10 000 population)","EN"
