nutrient,unit,life_stage,sex,source_agency,recommended_value,upper_limit_value,source_url,notes
Iron,mg,Adults,All,FDA,18,,https://www.fda.gov/food/nutrition-facts-label/daily-value-new-nutrition-and-supplement-facts-labels,FDA Daily Value; not equivalent to all RDA frameworks
Magnesium,mg,Adults,Female,DGE,300.0,,https://www.dge.de/wissenschaft/referenzwerte/magnesium/,Auto-imported from DGE nutrient page
Magnesium,mg,Adults,Male,DGE,350.0,,https://www.dge.de/wissenschaft/referenzwerte/magnesium/,Auto-imported from DGE nutrient page
Magnesium,mg,Adults,All,DRI,,350.0,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab9/?report=objectonly,Auto-imported from DRI UL table
Magnesium,mg,Adults,Female,DRI,,350.0,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab9/?report=objectonly,Auto-imported from DRI UL table
Magnesium,mg,Adults,Male,DRI,,350.0,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab9/?report=objectonly,Auto-imported from DRI UL table
Manganese,mg,Adults,All,DRI,,11.0,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab9/?report=objectonly,Auto-imported from DRI UL table
Manganese,mg,Adults,Female,DRI,,11.0,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab9/?report=objectonly,Auto-imported from DRI UL table
Manganese,mg,Adults,Male,DRI,,11.0,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab9/?report=objectonly,Auto-imported from DRI UL table
Manganese,mg,Adults,Female,DRI,1.8,,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,Web-verified DRI recommended intake (19-30 y)
Manganese,mg,Adults,Male,DRI,2.3,,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,Web-verified DRI recommended intake (19-30 y)
Molybdenum,g,Adults,All,DRI,,2000.0,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab9/?report=objectonly,Auto-imported from DRI UL table
Molybdenum,g,Adults,Female,DRI,,2000.0,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab9/?report=objectonly,Auto-imported from DRI UL table
Molybdenum,g,Adults,Male,DRI,,2000.0,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab9/?report=objectonly,Auto-imported from DRI UL table
Molybdenum,ug,Adults,Female,DRI,45.0,,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,Web-verified DRI recommended intake (19-30 y)
Molybdenum,ug,Adults,Male,DRI,45.0,,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,Web-verified DRI recommended intake (19-30 y)
Niacin,mg,Adults,Female,DGE,13.0,,https://www.dge.de/wissenschaft/referenzwerte/niacin/,Auto-imported from DGE nutrient page
Niacin,mg,Adults,Male,DGE,16.0,,https://www.dge.de/wissenschaft/referenzwerte/niacin/,Auto-imported from DGE nutrient page
Niacin,mg,Adults,All,DRI,,35.0,https://www.ncbi.nlm.nih.gov/books/NBK56068/table/summarytables.t7/?report=objectonly,Auto-imported from DRI UL table
Niacin,mg,Adults,Female,DRI,,35.0,https://www.ncbi.nlm.nih.gov/books/NBK56068/table/summarytables.t7/?report=objectonly,Auto-imported from DRI UL table
Niacin,mg,Adults,Male,DRI,,35.0,https://www.ncbi.nlm.nih.gov/books/NBK56068/table/summarytables.t7/?report=objectonly,Auto-imported from DRI UL table
Pantothenic acid,mg,Adults,Female,DGE,5.0,,https://www.dge.de/wissenschaft/referenzwerte/pantothensaeure/,Auto-imported from DGE nutrient page
Pantothenic acid,mg,Adults,Male,DGE,5.0,,https://www.dge.de/wissenschaft/referenzwerte/pantothensaeure/,Auto-imported from DGE nutrient page
Pantothenic acid,mg,Adults,All,DRI,7.0,,https://www.ncbi.nlm.nih.gov/books/NBK56068/table/summarytables.t2/?report=objectonly,Auto-imported from DRI table
Pantothenic acid,mg,Adults,Female,DRI,5.0,,https://www.ncbi.nlm.nih.gov/books/NBK56068/table/summarytables.t2/?report=objectonly,Auto-imported from DRI table
